scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
linear-resume,raw-cold-first-open,auto,pressure,off,1,0,1,1,ok,1,4,1.5063749999999914,28.993916999999954,,,,28.873207999999977,34.4899931940897,22.203125,22.203125,0.765625,23.640625,145.109375,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.20500000000004093,0.12862499999999955,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,1,1,1,ok,1,4,3.874290999999971,18.27412499999997,,,,18.150041999999985,54.722182320631035,22.46875,22.46875,0.34375,23.140625,144.3125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2055000000000291,0.12324999999998454,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,2,1,1,ok,1,4,1.4159999999999968,19.993374999999958,,,,19.86195799999996,50.01656798814618,21.96875,21.96875,1.125,23.34375,145.03125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.21070900000000847,0.12229200000001583,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,0,1,4,ok,1,16,2.6620829999999955,23.775125000000003,,,,23.646541999999954,168.2430691741894,34.859375,34.859375,1.28125,36.390625,164.203125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.22216599999995879,0.1655839999999671,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,1,1,4,ok,1,16,1.8901250000000118,25.353207999999995,,,,25.23429200000004,157.77096137104232,35.453125,35.453125,0.421875,36.15625,163.5625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.19520800000003646,0.1324170000000322,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,2,1,4,ok,1,16,2.712791999999979,26.46225000000004,,,,26.353666999999973,151.15872610983547,34.78125,34.78125,0.421875,35.53125,163.5625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.22029200000002902,0.22129200000000537,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,0,1,16,ok,1,64,6.904166999999973,42.86266599999999,,,,42.730166999999994,373.28522682186883,71.171875,71.171875,0.5625,72.59375,224.640625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.21991700000000947,0.1267090000000053,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,1,1,16,ok,1,64,7.060791999999992,42.237750000000005,,,,42.11370800000003,378.80805677385746,71.15625,71.15625,0.40625,71.921875,224.03125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.21483299999999872,0.13529200000004948,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,2,1,16,ok,1,64,7.285499999999956,39.80008299999997,,,,39.65662500000002,402.00921189033727,71.34375,71.34375,0.296875,72.703125,224.78125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.22008299999998826,0.11720800000000509,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,0,1,32,ok,1,128,12.162833000000035,63.11862500000001,,,,62.98008299999998,506.98189322089945,109.953125,109.953125,0.671875,111.21875,270.328125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2731670000000008,0.13212500000003047,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,,
