scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,enabled,current,current,1,0,1,ok,1,4,2.06170800000001,51.52554199999997,,,,51.520375,19.40785018816494,29.21875,29.21875,0.109375,29.59375,150.890625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.037125,""cpuUserMicros"":38,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":4.2145,""cpuUserMicros"":4180,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":15.061375,""cpuUserMicros"":15249,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.436292,""cpuUserMicros"":4462,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":4.636584,""cpuUserMicros"":4717,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.038667,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":4.176375,""cpuUserMicros"":3957,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.721875,""cpuUserMicros"":2766,""cpuSystemMicros"":null}}","{""gcRequests"":1,""gcElapsedMs"":5.453625,""bytesRead"":1836788,""bytesWritten"":1809,""recordsParsed"":6,""lineAssemblyCopyCount"":22,""lineAssemblyCopyBytes"":1506437,""indexWriteCalls"":1,""indexWriteBytes"":1146,""fsyncCount"":2,""fsyncElapsedMs"":0.8474999999999999}",0.7152909999999792,0.27133299999997007,1,0,45.56187057495117,true,true,true,true,1,1836788,1809,6,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,1,1,ok,1,4,2.019124999999974,48.42141700000002,,,,48.41754199999997,20.652018506604207,28.75,28.75,1.109375,30.640625,151.984375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.079833,""cpuUserMicros"":81,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":4.633375,""cpuUserMicros"":4530,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":12.541708,""cpuUserMicros"":13420,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.422291,""cpuUserMicros"":3608,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":3.196,""cpuUserMicros"":3813,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.04575,""cpuUserMicros"":45,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":2.788667,""cpuUserMicros"":3002,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.491417,""cpuUserMicros"":3869,""cpuSystemMicros"":null}}","{""gcRequests"":1,""gcElapsedMs"":4.896209,""bytesRead"":1836788,""bytesWritten"":1809,""recordsParsed"":6,""lineAssemblyCopyCount"":22,""lineAssemblyCopyBytes"":1506437,""indexWriteCalls"":1,""indexWriteBytes"":1146,""fsyncCount"":2,""fsyncElapsedMs"":0.856251}",0.761792000000014,0.09554200000002311,1,0,45.56187057495117,true,true,true,true,1,1836788,1809,6,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,2,1,ok,1,4,1.4144159999999601,43.887291999999945,,,,43.881416,22.7856391777374,29,29,0.625,29.765625,150.609375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024791,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":3.588542,""cpuUserMicros"":3554,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":11.621292,""cpuUserMicros"":12078,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.301541,""cpuUserMicros"":3441,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":3.002625,""cpuUserMicros"":3152,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.03875,""cpuUserMicros"":40,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":2.84275,""cpuUserMicros"":3012,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.847458,""cpuUserMicros"":3441,""cpuSystemMicros"":null}}","{""gcRequests"":1,""gcElapsedMs"":4.352792,""bytesRead"":1836788,""bytesWritten"":1809,""recordsParsed"":6,""lineAssemblyCopyCount"":22,""lineAssemblyCopyBytes"":1506437,""indexWriteCalls"":1,""indexWriteBytes"":1146,""fsyncCount"":2,""fsyncElapsedMs"":0.5297499999999999}",1.052332999999976,0.05525000000000091,1,0,45.56187057495117,true,true,true,true,1,1836788,1809,6,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,3,1,ok,1,4,1.154375000000016,44.98658399999999,,,,44.982583999999974,22.228849383184997,29.25,29.25,0.359375,29.84375,151.015625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.052833,""cpuUserMicros"":54,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":4.50825,""cpuUserMicros"":4484,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":13.31175,""cpuUserMicros"":13916,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.240834,""cpuUserMicros"":4355,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":3.210416,""cpuUserMicros"":3446,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041292,""cpuUserMicros"":42,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":2.585417,""cpuUserMicros"":2647,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.834167,""cpuUserMicros"":3198,""cpuSystemMicros"":null}}","{""gcRequests"":1,""gcElapsedMs"":4.437167,""bytesRead"":1836788,""bytesWritten"":1809,""recordsParsed"":6,""lineAssemblyCopyCount"":22,""lineAssemblyCopyBytes"":1506437,""indexWriteCalls"":1,""indexWriteBytes"":1146,""fsyncCount"":2,""fsyncElapsedMs"":0.643042}",0.6268749999999841,0.10058299999997189,1,0,45.56187057495117,true,true,true,true,1,1836788,1809,6,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,4,1,ok,1,4,1.678875000000005,45.00283400000001,,,,44.99654099999998,22.22082280418162,28.875,28.875,0.515625,29.640625,152.890625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.064583,""cpuUserMicros"":61,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":3.880084,""cpuUserMicros"":3795,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":12.726125,""cpuUserMicros"":13400,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.422708,""cpuUserMicros"":3640,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":3.465208,""cpuUserMicros"":3686,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042833,""cpuUserMicros"":44,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":2.567334,""cpuUserMicros"":2635,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.801583,""cpuUserMicros"":3037,""cpuSystemMicros"":null}}","{""gcRequests"":1,""gcElapsedMs"":4.640625,""bytesRead"":1836788,""bytesWritten"":1809,""recordsParsed"":6,""lineAssemblyCopyCount"":22,""lineAssemblyCopyBytes"":1506437,""indexWriteCalls"":1,""indexWriteBytes"":1146,""fsyncCount"":2,""fsyncElapsedMs"":0.559375}",0.645040999999992,0.07729199999999992,1,0,45.56187057495117,true,true,true,true,1,1836788,1809,6,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,0,4,ok,1,16,3.2056670000000054,70.475167,,,,70.46916699999997,56.757581007222015,53.671875,53.671875,0.34375,54.171875,181.109375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024625,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":13.850584,""cpuUserMicros"":21371,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":19.858084,""cpuUserMicros"":21283,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.090875,""cpuUserMicros"":3489,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":9.350542,""cpuUserMicros"":10165,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042125,""cpuUserMicros"":43,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":5.112417,""cpuUserMicros"":5328,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.030833,""cpuUserMicros"":3549,""cpuSystemMicros"":null}}","{""gcRequests"":2,""gcElapsedMs"":9.195709,""bytesRead"":8133036,""bytesWritten"":4649,""recordsParsed"":18,""lineAssemblyCopyCount"":82,""lineAssemblyCopyBytes"":4652162,""indexWriteCalls"":1,""indexWriteBytes"":3980,""fsyncCount"":2,""fsyncElapsedMs"":0.683126}",0.6242080000000101,0.09454199999998991,1,0,45.558135986328125,true,true,true,true,2,8133036,4649,18,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,1,4,ok,1,16,7.407916999999998,60.22495799999996,,,,60.22133400000001,66.41764698283397,53.5625,53.5625,0.296875,54.15625,182.1875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.072875,""cpuUserMicros"":74,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":10.850959,""cpuUserMicros"":16878,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":17.294583,""cpuUserMicros"":18457,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":2.853084,""cpuUserMicros"":3040,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":8.805875,""cpuUserMicros"":9545,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.029,""cpuUserMicros"":30,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":4.247416,""cpuUserMicros"":4411,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.504625,""cpuUserMicros"":3149,""cpuSystemMicros"":null}}","{""gcRequests"":2,""gcElapsedMs"":6.789125,""bytesRead"":8133036,""bytesWritten"":4649,""recordsParsed"":18,""lineAssemblyCopyCount"":82,""lineAssemblyCopyBytes"":4652162,""indexWriteCalls"":1,""indexWriteBytes"":3980,""fsyncCount"":2,""fsyncElapsedMs"":0.480125}",0.7889580000000365,0.06366599999995515,1,0,45.558135986328125,true,true,true,true,2,8133036,4649,18,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,2,4,ok,1,16,2.6722500000000196,80.71941700000002,,,,80.715125,49.55437178145129,53.859375,53.859375,0.09375,54.625,181.375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.023833,""cpuUserMicros"":25,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":13.071917,""cpuUserMicros"":20980,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.737541,""cpuUserMicros"":25225,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.615417,""cpuUserMicros"":3967,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":20.418459,""cpuUserMicros"":13348,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.04925,""cpuUserMicros"":46,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":5.524875,""cpuUserMicros"":5665,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.045542,""cpuUserMicros"":3115,""cpuSystemMicros"":null}}","{""gcRequests"":2,""gcElapsedMs"":9.754959,""bytesRead"":8133036,""bytesWritten"":4649,""recordsParsed"":18,""lineAssemblyCopyCount"":82,""lineAssemblyCopyBytes"":4652162,""indexWriteCalls"":1,""indexWriteBytes"":3980,""fsyncCount"":2,""fsyncElapsedMs"":0.6907920000000001}",0.7248749999999973,0.07229100000000699,1,0,45.558135986328125,true,true,true,true,2,8133036,4649,18,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,3,4,ok,1,16,2.669249999999977,65.88875000000002,,,,65.88429099999996,60.70839103792376,53.703125,53.703125,0.34375,54.4375,181.296875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.023833,""cpuUserMicros"":25,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":13.245583,""cpuUserMicros"":20892,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":20.343209,""cpuUserMicros"":21697,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":3.323416,""cpuUserMicros"":3632,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":10.28975,""cpuUserMicros"":11067,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.035459,""cpuUserMicros"":36,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":4.9925,""cpuUserMicros"":5108,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.9345,""cpuUserMicros"":2866,""cpuSystemMicros"":null}}","{""gcRequests"":2,""gcElapsedMs"":7.790833999999999,""bytesRead"":8133036,""bytesWritten"":4649,""recordsParsed"":18,""lineAssemblyCopyCount"":82,""lineAssemblyCopyBytes"":4652162,""indexWriteCalls"":1,""indexWriteBytes"":3980,""fsyncCount"":2,""fsyncElapsedMs"":0.548708}",0.6253330000000119,0.0524159999999938,1,0,45.558135986328125,true,true,true,true,2,8133036,4649,18,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,4,4,ok,1,16,2.5690420000000245,59.339332999999954,,,,59.335999999999956,67.40891408401916,53.609375,53.609375,0.140625,53.96875,180.765625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.01875,""cpuUserMicros"":20,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":10.726208,""cpuUserMicros"":16629,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":17.661125,""cpuUserMicros"":18371,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":2.754791,""cpuUserMicros"":2936,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":8.703542,""cpuUserMicros"":9015,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.02975,""cpuUserMicros"":30,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":5.111458,""cpuUserMicros"":5248,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.936209,""cpuUserMicros"":2724,""cpuSystemMicros"":null}}","{""gcRequests"":2,""gcElapsedMs"":6.468541999999999,""bytesRead"":8133036,""bytesWritten"":4649,""recordsParsed"":18,""lineAssemblyCopyCount"":82,""lineAssemblyCopyBytes"":4652162,""indexWriteCalls"":1,""indexWriteBytes"":3980,""fsyncCount"":2,""fsyncElapsedMs"":0.630876}",0.656915999999967,0.061916999999994005,1,0,45.558135986328125,true,true,true,true,2,8133036,4649,18,1,2,
